BN/Registration number:	Charity name:	Charity status: 	Effective date of status:	Sanction 	Designation: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
136747276RR0001	(A.C.C.E.S.) ACCESSIBLE COMMUNITY COUNSELLING AND EMPLOYMENT SERVICES	Registered	1987-08-15		0001	0010	489 COLLEGE ST., STE 100	TORONTO	ON	CA	M6G1A5
865910137RR0001	(B.O.I.) BARONS ORGANIZATION AND INVOLVEMENT SOCIETY	Revoked-Failure to File	2005-09-03		0002	0210	468 ADMISALS ROAD	VICTORIA	BC	CA	V9A2N1
893440370RR0001	(BURLINGTON) S A L T COUNCIL	Revoked-Voluntary	1998-10-31		0001	0160	777 GUELPH LINE	BURLINGTON	ON	CA	L7R3N2
119052124RR0001	(C A H R D ) CENTRE FOR ABORIGINAL HUMAN RESOURCE DEVELOPMENT INC.	Registered	1987-04-01		0001	0001	304-181 HIGGINS AVENUE	WINNIPEG	MB	CA	R3B3G1
889256707RR0001	(C.N.P.S.) CONSERVE NATIVE PLANTS SOCIETY INC.	Revoked-Voluntary	2013-05-11		0001	0200	14 KULLMAN STREET	WINNIPEG	MB	CA	R2K4A2
139415707RR0001	(CAFGRAF) GROUPE D'ENTRAIDE EN SANTÉ MENTALE DE LAVAL	Registered	1994-07-25		0001	0001	201 - 68 BOUL CARTIER O	LAVAL	QC	CA	H7N2H5
106807464RR0001	(CAPE) Center for Adults in Progressive Employment Society	Registered	1990-04-01		0001	0001	40 LOWER MACLEAN ST	GLACE BAY	NS	CA	B1A2K7
118880681RR0001	(CSFO) CHINESE STUDENT FUND OF ONTARIO	Revoked-Failure to File	1994-10-29		0001	0011	2465 CONCESSION 6	GREENWOOD	ON	CA	L0H1H0
