BC088,BC Pension Corporation,46.15,43.37539432,2.78,306,73147
BC100,BC Public Service Agency,22.51,30.47001621,-7.96,154,74454
BCSC,BC Securities Commission,7.490636704,11.65413534,-4.163498636,20,45190
BC805,Community Living BC,2.23,2.73381295,-0.51,16,7298
BC015,Elections BC,59.64912281,71.95121951,-12.3020967,68,21203
BC115,Environmental Assessment Office,28.46,47.16981132,-18.71,35,14617
BGCPE,Government Communications and Public Engagement,24.23,47.36842105,-23.14,72,19198
BC002,Legislative Assembly of BC,11.11111111,15.2,-4.088888889,44,20236
BCLDB,Liquor Distribution Branch,13.14588278,13.89214537,-0.746262587,720,176425
BC130,Ministry of Agriculture and Food,7.93,13.71681416,-5.78,38,15620
BC105,Ministry of Attorney General,5.29,5.938340575,-0.64,258,218322
BC039,Ministry of Children and Family Development,4.77,5.831983337,-1.06,226,117348
BC112,Ministry of Citizens' Services,15.44,19.20668058,-3.77,419,189280
BC062,Ministry of Education and Child Care,19.73,23.095526,-3.36,194,68208
BC134,Ministry of Emergency Management and Climate Readiness,16.79,28.95442359,-12.17,70,35636
BC057,"Ministry of Energy, Mines and Low Carbon Innovation",25.14,32.05417607,-6.91,133,64495
BC048,Ministry of Environment and Climate Change Strategy,14.99,16.52340019,-1.54,183,84656
BC022,Ministry of Finance,58.09,61.44578313,-3.35,872,219155
BC128,Ministry of Forests,3.87,5.813676436,-1.95,178,95112
BC026,Ministry of Health,14.15,13.11166876,1.04,265,125361
BC131,Ministry of Housing,15.41,0,15.41,47,27064
BC120,Ministry of Indigenous Relations and Reconciliation,23.05,31.57894737,-8.53,65,50817
BC125,"Ministry of Jobs, Economic Development and Innovation",27.78,24.34210526,3.44,95,40393
BC127,Ministry of Labour,12.13,10.29810298,1.83,49,24416
BC029,Ministry of Mental Health and Addictions,40.85,43.29896907,-2.45,58,22522 
BC060,Ministry of Municipal Affairs,25.12,24.18952618,0.93,102,38761
BC019,Ministry of Post-Secondary Education and Future Skills,19.83,21.28146453,-1.45,96,52679
BC010,Ministry of Public Safety and Solicitor General,6.98,6.227106227,0.75,252,98702
BC031,Ministry of Social Development and Poverty Reduction,15.81,17.08428246,-1.27,370,129897
BC126,"Ministry of Tourism, Arts, Culture and Sport",35.66,47.4137931,-11.75,46,16858
BC034,Ministry of Transportation and Infrastructure,12.45,11.8226601,0.63,227,88062
BC133,"Ministry of Water, Land and Resource Stewardship",19.06,20.20373514,-1.15,267,122182
BC009,Office of Information and Privacy Commissioner,82.54,59.57446809,22.97,52,22450
BC003,Office of the Auditor General,38.89,41.02564103,-2.14,49,29359
BC106,Office of the Merit Commissioner,71.43,57.14285714,14.29,5,2026
BC007,Office of the Ombudsperson,38.46,18.81188119,19.65,45,17817
BC004,Office of the Premier,36.96,62.06896552,-25.11,34,21327
BC077,Royal BC Museum,10,11.33333333,-1.33,17,11976
BC109,BC Representative for Children and Youth,4.88,4.411764706,0.47,4,6422
BC825,Destination BC Corporation,3.54,5.504587156,-1.96,4,4056
BC079,Forest Practices Board,5.56,22.22222222,-16.67,1,520
BC312,InBC Investment Corp,5.56,0,5.56,1,208
BC025,Office of the Police Complaint Commissioner,5.26,5,0.26,2,362
BCRET,Retiree,0,0,0,3,5500
